image,true_angle_deg
angry_true.jpg,0
angry_rot_-20.jpg,-20
angry_rot_-15.jpg,-15
angry_rot_-10.jpg,-10
angry_rot_-5.jpg,-5
angry_rot_0.jpg,0
angry_rot_5.jpg,5
angry_rot_10.jpg,10
angry_rot_15.jpg,15
angry_rot_20.jpg,20

bag_true.jpg,0
bag_rot_-20.jpg,-20
bag_rot_-15.jpg,-15
bag_rot_-10.jpg,-10
bag_rot_-5.jpg,-5
bag_rot_0.jpg,0
bag_rot_5.jpg,5
bag_rot_10.jpg,10
bag_rot_15.jpg,15
bag_rot_20.jpg,20

cards_true.jpg,0
cards_rot_-20.jpg,-20
cards_rot_-15.jpg,-15
cards_rot_-10.jpg,-10
cards_rot_-5.jpg,-5
cards_rot_0.jpg,0
cards_rot_5.jpg,5
cards_rot_10.jpg,10
cards_rot_15.jpg,15
cards_rot_20.jpg,20

cool_true.jpg,0
cool_rot_-20.jpg,-20
cool_rot_-15.jpg,-15
cool_rot_-10.jpg,-10
cool_rot_-5.jpg,-5
cool_rot_0.jpg,0
cool_rot_5.jpg,5
cool_rot_10.jpg,10
cool_rot_15.jpg,15
cool_rot_20.jpg,20

epic_true.jpg,0
epic_rot_-20.jpg,-20
epic_rot_-15.jpg,-15
epic_rot_-10.jpg,-10
epic_rot_-5.jpg,-5
epic_rot_0.jpg,0
epic_rot_5.jpg,5
epic_rot_10.jpg,10
epic_rot_15.jpg,15
epic_rot_20.jpg,20

hand_true.jpg,0
hand_rot_-20.jpg,-20
hand_rot_-15.jpg,-15
hand_rot_-10.jpg,-10
hand_rot_-5.jpg,-5
hand_rot_0.jpg,0
hand_rot_5.jpg,5
hand_rot_10.jpg,10
hand_rot_15.jpg,15
hand_rot_20.jpg,20

heart_true.jpg,0
heart_rot_-20.jpg,-20
heart_rot_-15.jpg,-15
heart_rot_-10.jpg,-10
heart_rot_-5.jpg,-5
heart_rot_0.jpg,0
heart_rot_5.jpg,5
heart_rot_10.jpg,10
heart_rot_15.jpg,15
heart_rot_20.jpg,20

love_true.jpg,0
love_rot_-20.jpg,-20
love_rot_-15.jpg,-15
love_rot_-10.jpg,-10
love_rot_-5.jpg,-5
love_rot_0.jpg,0
love_rot_5.jpg,5
love_rot_10.jpg,10
love_rot_15.jpg,15
love_rot_20.jpg,20

skater_true.jpg,0
skater_rot_-20.jpg,-20
skater_rot_-15.jpg,-15
skater_rot_-10.jpg,-10
skater_rot_-5.jpg,-5
skater_rot_0.jpg,0
skater_rot_5.jpg,5
skater_rot_10.jpg,10
skater_rot_15.jpg,15
skater_rot_20.jpg,20

tree_true.jpg,0
tree_rot_-20.jpg,-20
tree_rot_-15.jpg,-15
tree_rot_-10.jpg,-10
tree_rot_-5.jpg,-5
tree_rot_0.jpg,0
tree_rot_5.jpg,5
tree_rot_10.jpg,10
tree_rot_15.jpg,15
tree_rot_20.jpg,20
